LSOA Code,LSOA Name,Borough,Total_Crime_Count,Population,Crime_Rate
E01000409,Bexley 016C,E09000004,22,1742,12.629161882893225
E01000410,Bexley 018D,E09000004,81,1658,48.854041013269
E01000411,Bexley 016D,E09000004,42,1494,28.112449799196785
E01000412,Bexley 018E,E09000004,77,1766,43.60135900339751
E01000413,Bexley 018F,E09000004,104,1347,77.20861172976986
E01000414,Bexley 016E,E09000004,198,1894,104.54065469904964
E01000415,Bexley 016F,E09000004,33,1465,22.525597269624573
E01000416,Bexley 002A,E09000004,228,1631,139.79153893316985
E01000417,Bexley 006B,E09000004,102,1739,58.654399079931
E01000418,Bexley 002B,E09000004,69,1946,35.45734840698869
E01000419,Bexley 006C,E09000004,47,1495,31.438127090301005
E01000420,Bexley 006D,E09000004,40,1522,26.281208935611037
E01000421,Bexley 009D,E09000004,21,1521,13.806706114398422
E01000422,Bexley 002C,E09000004,103,1338,76.98056801195814
E01000423,Bexley 025C,E09000004,31,1607,19.290603609209708
E01000424,Bexley 026A,E09000004,55,1727,31.84713375796178
E01000425,Bexley 025D,E09000004,19,1800,10.555555555555555
E01000426,Bexley 026B,E09000004,49,1672,29.30622009569378
E01000427,Bexley 026C,E09000004,80,2011,39.781203381402285
E01000428,Bexley 027D,E09000004,180,1902,94.6372239747634
E01000429,Bexley 008B,E09000004,210,1693,124.04016538688718
E01000430,Bexley 008C,E09000004,139,2050,67.8048780487805
E01000431,Bexley 008D,E09000004,119,1199,99.24937447873228
E01000433,Bexley 008F,E09000004,219,1957,111.90597853857946
E01000434,Bexley 008G,E09000004,111,1593,69.6798493408663
E01000435,Bexley 010E,E09000004,167,1490,112.08053691275167
E01000436,Bexley 011E,E09000004,32,1757,18.21286283437678
E01000437,Bexley 007A,E09000004,52,1373,37.873270211216315
E01000438,Bexley 007B,E09000004,77,1688,45.616113744075825
E01000439,Bexley 007C,E09000004,134,1424,94.10112359550561
E01000440,Bexley 007D,E09000004,23,1385,16.60649819494585
E01000441,Bexley 007E,E09000004,130,1802,72.14206437291898
E01000442,Bexley 006E,E09000004,50,1679,29.779630732578916
E01000443,Bexley 024B,E09000004,42,1330,31.578947368421055
E01000444,Bexley 023B,E09000004,59,1642,35.931790499390985
E01000445,Bexley 024C,E09000004,81,1666,48.619447779111646
E01000446,Bexley 024D,E09000004,63,1505,41.860465116279066
E01000447,Bexley 023C,E09000004,162,1959,82.69525267993875
E01000448,Bexley 023D,E09000004,38,1346,28.231797919762258
